description,price,bioequivalent,image_url
PANAGESIC Inf. 100mg /ml Gotas x 15ml,2590,paracetamol,"//cdn.shopify.com/s/files/1/0581/6687/0176/products/7800041045366_PANAGESIC_Inf_100mg_ml_Gotasx15ml_200x.jpg?v=1656197136 200w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800041045366_PANAGESIC_Inf_100mg_ml_Gotasx15ml_300x.jpg?v=1656197136 300w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800041045366_PANAGESIC_Inf_100mg_ml_Gotasx15ml_400x.jpg?v=1656197136 400w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800041045366_PANAGESIC_Inf_100mg_ml_Gotasx15ml_500x.jpg?v=1656197136 500w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800041045366_PANAGESIC_Inf_100mg_ml_Gotasx15ml_600x.jpg?v=1656197136 600w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800041045366_PANAGESIC_Inf_100mg_ml_Gotasx15ml_700x.jpg?v=1656197136 700w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800041045366_PANAGESIC_Inf_100mg_ml_Gotasx15ml_800x.jpg?v=1656197136 800w"
ANALGEX SAP Comp. x 20,19990,paracetamol,"//cdn.shopify.com/s/files/1/0581/6687/0176/products/7800026026687_ANALGEX_SAP_200x.jpg?v=1647595682 200w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800026026687_ANALGEX_SAP_300x.jpg?v=1647595682 300w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800026026687_ANALGEX_SAP_400x.jpg?v=1647595682 400w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800026026687_ANALGEX_SAP_500x.jpg?v=1647595682 500w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800026026687_ANALGEX_SAP_600x.jpg?v=1647595682 600w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800026026687_ANALGEX_SAP_700x.jpg?v=1647595682 700w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800026026687_ANALGEX_SAP_800x.jpg?v=1647595682 800w"
KITADOL 1g Comp. x 18,6990,paracetamol,"//cdn.shopify.com/s/files/1/0581/6687/0176/products/7800007753618_KITADOL_1G_COMP_X_18_200x.jpg?v=1656052561 200w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800007753618_KITADOL_1G_COMP_X_18_300x.jpg?v=1656052561 300w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800007753618_KITADOL_1G_COMP_X_18_400x.jpg?v=1656052561 400w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800007753618_KITADOL_1G_COMP_X_18_500x.jpg?v=1656052561 500w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800007753618_KITADOL_1G_COMP_X_18_600x.jpg?v=1656052561 600w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800007753618_KITADOL_1G_COMP_X_18_700x.jpg?v=1656052561 700w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800007753618_KITADOL_1G_COMP_X_18_800x.jpg?v=1656052561 800w"
KITADOL 120mg /5ml Jbe. x 60ml,9690,paracetamol,"//cdn.shopify.com/s/files/1/0581/6687/0176/products/7800007409836_KITADOL_120MG_5ML_JBE_X_60ML_200x.jpg?v=1656052444 200w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800007409836_KITADOL_120MG_5ML_JBE_X_60ML_300x.jpg?v=1656052444 300w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800007409836_KITADOL_120MG_5ML_JBE_X_60ML_400x.jpg?v=1656052444 400w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800007409836_KITADOL_120MG_5ML_JBE_X_60ML_500x.jpg?v=1656052444 500w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800007409836_KITADOL_120MG_5ML_JBE_X_60ML_600x.jpg?v=1656052444 600w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800007409836_KITADOL_120MG_5ML_JBE_X_60ML_700x.jpg?v=1656052444 700w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800007409836_KITADOL_120MG_5ML_JBE_X_60ML_800x.jpg?v=1656052444 800w"
KITADOL 100mg /ml Gotas x 15ml,3990,paracetamol,"//cdn.shopify.com/s/files/1/0581/6687/0176/products/7800007409911_KITADOL_100mg_ml_Gotas_x_15ml_200x.jpg?v=1662757525 200w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800007409911_KITADOL_100mg_ml_Gotas_x_15ml_300x.jpg?v=1662757525 300w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800007409911_KITADOL_100mg_ml_Gotas_x_15ml_400x.jpg?v=1662757525 400w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800007409911_KITADOL_100mg_ml_Gotas_x_15ml_500x.jpg?v=1662757525 500w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800007409911_KITADOL_100mg_ml_Gotas_x_15ml_600x.jpg?v=1662757525 600w"
TAPSIN SC 1g Polvo Eferv. Sobre x 1,690,paracetamol,"//cdn.shopify.com/s/files/1/0581/6687/0176/products/2021082316306_TAPSIN_SC_1g_Polvo_Eferv_Sobre_x1_c96c8bc3-4cff-4352-848d-8e777e35df80_200x.jpg?v=1662155216 200w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/2021082316306_TAPSIN_SC_1g_Polvo_Eferv_Sobre_x1_c96c8bc3-4cff-4352-848d-8e777e35df80_300x.jpg?v=1662155216 300w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/2021082316306_TAPSIN_SC_1g_Polvo_Eferv_Sobre_x1_c96c8bc3-4cff-4352-848d-8e777e35df80_400x.jpg?v=1662155216 400w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/2021082316306_TAPSIN_SC_1g_Polvo_Eferv_Sobre_x1_c96c8bc3-4cff-4352-848d-8e777e35df80_500x.jpg?v=1662155216 500w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/2021082316306_TAPSIN_SC_1g_Polvo_Eferv_Sobre_x1_c96c8bc3-4cff-4352-848d-8e777e35df80_600x.jpg?v=1662155216 600w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/2021082316306_TAPSIN_SC_1g_Polvo_Eferv_Sobre_x1_c96c8bc3-4cff-4352-848d-8e777e35df80_700x.jpg?v=1662155216 700w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/2021082316306_TAPSIN_SC_1g_Polvo_Eferv_Sobre_x1_c96c8bc3-4cff-4352-848d-8e777e35df80_800x.jpg?v=1662155216 800w"
TRAMAVOLTA 37.5mg + 325mg Comp. x 30,5990,paracetamol,"//cdn.shopify.com/s/files/1/0581/6687/0176/products/7800046001848_TRAMAVOLTA37.5MG_325MGCOMPx30_200x.jpg?v=1649796927 200w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800046001848_TRAMAVOLTA37.5MG_325MGCOMPx30_300x.jpg?v=1649796927 300w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800046001848_TRAMAVOLTA37.5MG_325MGCOMPx30_400x.jpg?v=1649796927 400w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800046001848_TRAMAVOLTA37.5MG_325MGCOMPx30_500x.jpg?v=1649796927 500w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800046001848_TRAMAVOLTA37.5MG_325MGCOMPx30_600x.jpg?v=1649796927 600w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800046001848_TRAMAVOLTA37.5MG_325MGCOMPx30_700x.jpg?v=1649796927 700w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800046001848_TRAMAVOLTA37.5MG_325MGCOMPx30_800x.jpg?v=1649796927 800w"
BREVEX Comp. Rec. x 20,10990,paracetamol,
CONGESTEX Caps. x 10,7290,paracetamol,
CONGESTEX Susp. x 120ml,10190,paracetamol,
TERMO-NIOFEN Oral Susp. x 120ml,9990,paracetamol,
KITADOL DUO 200mg/300mg comp. x 10,3490,paracetamol,"//cdn.shopify.com/s/files/1/0581/6687/0176/products/7800007808790_KITADOL_10COMP_200x.jpg?v=1648231186 200w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800007808790_KITADOL_10COMP_300x.jpg?v=1648231186 300w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800007808790_KITADOL_10COMP_400x.jpg?v=1648231186 400w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800007808790_KITADOL_10COMP_500x.jpg?v=1648231186 500w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800007808790_KITADOL_10COMP_600x.jpg?v=1648231186 600w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800007808790_KITADOL_10COMP_700x.jpg?v=1648231186 700w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800007808790_KITADOL_10COMP_800x.jpg?v=1648231186 800w"
TAPSIN PEDIATRICO 160mg Comp. x 16,2490,paracetamol,"//cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004501472_TAPSIN_PED_COM_160MG_6_200x.jpg?v=1653079036 200w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004501472_TAPSIN_PED_COM_160MG_6_300x.jpg?v=1653079036 300w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004501472_TAPSIN_PED_COM_160MG_6_400x.jpg?v=1653079036 400w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004501472_TAPSIN_PED_COM_160MG_6_500x.jpg?v=1653079036 500w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004501472_TAPSIN_PED_COM_160MG_6_600x.jpg?v=1653079036 600w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004501472_TAPSIN_PED_COM_160MG_6_700x.jpg?v=1653079036 700w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004501472_TAPSIN_PED_COM_160MG_6_800x.jpg?v=1653079036 800w"
TAPSIN M Mast. Comp. x 10,2490,paracetamol,"//cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004001637_TAPSIN_M_MAST_COMP_X_10_200x.jpg?v=1653078558 200w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004001637_TAPSIN_M_MAST_COMP_X_10_300x.jpg?v=1653078558 300w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004001637_TAPSIN_M_MAST_COMP_X_10_400x.jpg?v=1653078558 400w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004001637_TAPSIN_M_MAST_COMP_X_10_500x.jpg?v=1653078558 500w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004001637_TAPSIN_M_MAST_COMP_X_10_600x.jpg?v=1653078558 600w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004001637_TAPSIN_M_MAST_COMP_X_10_700x.jpg?v=1653078558 700w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004001637_TAPSIN_M_MAST_COMP_X_10_800x.jpg?v=1653078558 800w"
DOLOTEN Comp. Rec. x 30,14590,paracetamol,"//cdn.shopify.com/s/files/1/0581/6687/0176/products/7800028001743_DOLOTEN_Comp_Rec_x_30_200x.jpg?v=1666197037 200w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800028001743_DOLOTEN_Comp_Rec_x_30_300x.jpg?v=1666197037 300w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800028001743_DOLOTEN_Comp_Rec_x_30_400x.jpg?v=1666197037 400w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800028001743_DOLOTEN_Comp_Rec_x_30_500x.jpg?v=1666197037 500w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800028001743_DOLOTEN_Comp_Rec_x_30_600x.jpg?v=1666197037 600w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800028001743_DOLOTEN_Comp_Rec_x_30_700x.jpg?v=1666197037 700w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800028001743_DOLOTEN_Comp_Rec_x_30_800x.jpg?v=1666197037 800w"
TAPSIN MUJER Est. Cplts. x 12,2090,paracetamol,"//cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004507825_TAPSIN_MUJER_Est_Cplts_x_12_200x.jpg?v=1661538822 200w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004507825_TAPSIN_MUJER_Est_Cplts_x_12_300x.jpg?v=1661538822 300w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004507825_TAPSIN_MUJER_Est_Cplts_x_12_400x.jpg?v=1661538822 400w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004507825_TAPSIN_MUJER_Est_Cplts_x_12_500x.jpg?v=1661538822 500w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004507825_TAPSIN_MUJER_Est_Cplts_x_12_600x.jpg?v=1661538822 600w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004507825_TAPSIN_MUJER_Est_Cplts_x_12_700x.jpg?v=1661538822 700w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004507825_TAPSIN_MUJER_Est_Cplts_x_12_800x.jpg?v=1661538822 800w"
TAPSIN DIA Tira Comp. x 6,590,paracetamol,"//cdn.shopify.com/s/files/1/0581/6687/0176/products/78039957_TAPSIN_DIA_Tira_Comp_x_6_200x.jpg?v=1661538980 200w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/78039957_TAPSIN_DIA_Tira_Comp_x_6_300x.jpg?v=1661538980 300w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/78039957_TAPSIN_DIA_Tira_Comp_x_6_400x.jpg?v=1661538980 400w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/78039957_TAPSIN_DIA_Tira_Comp_x_6_500x.jpg?v=1661538980 500w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/78039957_TAPSIN_DIA_Tira_Comp_x_6_600x.jpg?v=1661538980 600w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/78039957_TAPSIN_DIA_Tira_Comp_x_6_700x.jpg?v=1661538980 700w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/78039957_TAPSIN_DIA_Tira_Comp_x_6_800x.jpg?v=1661538980 800w"
TRAL P 37.5mg /325mg Comp. Rec. x 30,6990,paracetamol,"//cdn.shopify.com/s/files/1/0581/6687/0176/products/7800068012389_TRAL_P_37_5MG_325MG_COMP_RECX30_200x.jpg?v=1654195268 200w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800068012389_TRAL_P_37_5MG_325MG_COMP_RECX30_300x.jpg?v=1654195268 300w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800068012389_TRAL_P_37_5MG_325MG_COMP_RECX30_400x.jpg?v=1654195268 400w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800068012389_TRAL_P_37_5MG_325MG_COMP_RECX30_500x.jpg?v=1654195268 500w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800068012389_TRAL_P_37_5MG_325MG_COMP_RECX30_600x.jpg?v=1654195268 600w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800068012389_TRAL_P_37_5MG_325MG_COMP_RECX30_700x.jpg?v=1654195268 700w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800068012389_TRAL_P_37_5MG_325MG_COMP_RECX30_800x.jpg?v=1654195268 800w"
CONGESTEX GOTAS Oral Fco. Sol. x 15ml,10590,paracetamol,"//cdn.shopify.com/s/files/1/0581/6687/0176/products/7800026016060_CONGESTEX_GOTAS_200x.jpg?v=1647602492 200w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800026016060_CONGESTEX_GOTAS_300x.jpg?v=1647602492 300w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800026016060_CONGESTEX_GOTAS_400x.jpg?v=1647602492 400w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800026016060_CONGESTEX_GOTAS_500x.jpg?v=1647602492 500w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800026016060_CONGESTEX_GOTAS_600x.jpg?v=1647602492 600w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800026016060_CONGESTEX_GOTAS_700x.jpg?v=1647602492 700w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800026016060_CONGESTEX_GOTAS_800x.jpg?v=1647602492 800w"
TAPSIN LIMONADA NOCHE PLUS Sobre x 1,590,paracetamol,"//cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004369836_TAPSIN_LIMONADA_NOCHE_PLUS_SOBRE_200x.jpg?v=1653078227 200w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004369836_TAPSIN_LIMONADA_NOCHE_PLUS_SOBRE_300x.jpg?v=1653078227 300w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004369836_TAPSIN_LIMONADA_NOCHE_PLUS_SOBRE_400x.jpg?v=1653078227 400w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004369836_TAPSIN_LIMONADA_NOCHE_PLUS_SOBRE_500x.jpg?v=1653078227 500w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004369836_TAPSIN_LIMONADA_NOCHE_PLUS_SOBRE_600x.jpg?v=1653078227 600w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004369836_TAPSIN_LIMONADA_NOCHE_PLUS_SOBRE_700x.jpg?v=1653078227 700w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004369836_TAPSIN_LIMONADA_NOCHE_PLUS_SOBRE_800x.jpg?v=1653078227 800w"
TAPSIN FORTE Comp. x 6,890,paracetamol,"//cdn.shopify.com/s/files/1/0581/6687/0176/products/13051860_TAPSIN_FORTE_COM_X6_59997b26-f7c4-4649-9e34-5fd199042f1a_200x.jpg?v=1656193703 200w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/13051860_TAPSIN_FORTE_COM_X6_59997b26-f7c4-4649-9e34-5fd199042f1a_300x.jpg?v=1656193703 300w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/13051860_TAPSIN_FORTE_COM_X6_59997b26-f7c4-4649-9e34-5fd199042f1a_400x.jpg?v=1656193703 400w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/13051860_TAPSIN_FORTE_COM_X6_59997b26-f7c4-4649-9e34-5fd199042f1a_500x.jpg?v=1656193703 500w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/13051860_TAPSIN_FORTE_COM_X6_59997b26-f7c4-4649-9e34-5fd199042f1a_600x.jpg?v=1656193703 600w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/13051860_TAPSIN_FORTE_COM_X6_59997b26-f7c4-4649-9e34-5fd199042f1a_700x.jpg?v=1656193703 700w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/13051860_TAPSIN_FORTE_COM_X6_59997b26-f7c4-4649-9e34-5fd199042f1a_800x.jpg?v=1656193703 800w"
PANADOL PEDIA. 80mg Comp. X 20,3290,paracetamol,"//cdn.shopify.com/s/files/1/0581/6687/0176/products/7800029001988_PANADOL_PEDIA_80mg_Comp_X_20_200x.jpg?v=1655829238 200w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800029001988_PANADOL_PEDIA_80mg_Comp_X_20_300x.jpg?v=1655829238 300w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800029001988_PANADOL_PEDIA_80mg_Comp_X_20_400x.jpg?v=1655829238 400w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800029001988_PANADOL_PEDIA_80mg_Comp_X_20_500x.jpg?v=1655829238 500w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800029001988_PANADOL_PEDIA_80mg_Comp_X_20_600x.jpg?v=1655829238 600w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800029001988_PANADOL_PEDIA_80mg_Comp_X_20_700x.jpg?v=1655829238 700w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800029001988_PANADOL_PEDIA_80mg_Comp_X_20_800x.jpg?v=1655829238 800w"
DOLOTEN Comp. X 30,14590,paracetamol,"//cdn.shopify.com/s/files/1/0581/6687/0176/products/7800028005048_DOLOTEN_COM_X30_3cb8cef7-d02c-4f72-9415-48a3c21320ef_200x.jpg?v=1648480202 200w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800028005048_DOLOTEN_COM_X30_3cb8cef7-d02c-4f72-9415-48a3c21320ef_300x.jpg?v=1648480202 300w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800028005048_DOLOTEN_COM_X30_3cb8cef7-d02c-4f72-9415-48a3c21320ef_400x.jpg?v=1648480202 400w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800028005048_DOLOTEN_COM_X30_3cb8cef7-d02c-4f72-9415-48a3c21320ef_500x.jpg?v=1648480202 500w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800028005048_DOLOTEN_COM_X30_3cb8cef7-d02c-4f72-9415-48a3c21320ef_600x.jpg?v=1648480202 600w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800028005048_DOLOTEN_COM_X30_3cb8cef7-d02c-4f72-9415-48a3c21320ef_700x.jpg?v=1648480202 700w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800028005048_DOLOTEN_COM_X30_3cb8cef7-d02c-4f72-9415-48a3c21320ef_800x.jpg?v=1648480202 800w"
TAPSIN FORTE COMPRIMIDOS RECUBIERTOS Comp. Rec. x 20,1990,paracetamol,"//cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004507870_TAPSIN_FORTE_COMPRIMIDOS_RECUBIERTOS_Comp_Rec_x_20_200x.jpg?v=1663169889 200w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004507870_TAPSIN_FORTE_COMPRIMIDOS_RECUBIERTOS_Comp_Rec_x_20_300x.jpg?v=1663169889 300w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004507870_TAPSIN_FORTE_COMPRIMIDOS_RECUBIERTOS_Comp_Rec_x_20_400x.jpg?v=1663169889 400w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004507870_TAPSIN_FORTE_COMPRIMIDOS_RECUBIERTOS_Comp_Rec_x_20_500x.jpg?v=1663169889 500w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004507870_TAPSIN_FORTE_COMPRIMIDOS_RECUBIERTOS_Comp_Rec_x_20_600x.jpg?v=1663169889 600w"
TAPSIN NOCHE LIMON/MIEL/JENGIBRE Sobre x 5g,19990,paracetamol,"//cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004003297_TAPSINDIALIMON_MIEL_JENGIBRE_Sobre_x5g_200x.jpg?v=1662487315 200w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004003297_TAPSINDIALIMON_MIEL_JENGIBRE_Sobre_x5g_300x.jpg?v=1662487315 300w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004003297_TAPSINDIALIMON_MIEL_JENGIBRE_Sobre_x5g_400x.jpg?v=1662487315 400w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004003297_TAPSINDIALIMON_MIEL_JENGIBRE_Sobre_x5g_500x.jpg?v=1662487315 500w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004003297_TAPSINDIALIMON_MIEL_JENGIBRE_Sobre_x5g_600x.jpg?v=1662487315 600w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004003297_TAPSINDIALIMON_MIEL_JENGIBRE_Sobre_x5g_700x.jpg?v=1662487315 700w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004003297_TAPSINDIALIMON_MIEL_JENGIBRE_Sobre_x5g_800x.jpg?v=1662487315 800w"
TAPSIN LIMONADA DIA PLUS Sobre x 5g,690,paracetamol,"//cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004369829_TAPSIN_LIMONADA_DIA_PLUS_Sobre_x_5g_200x.jpg?v=1662155861 200w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004369829_TAPSIN_LIMONADA_DIA_PLUS_Sobre_x_5g_300x.jpg?v=1662155861 300w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004369829_TAPSIN_LIMONADA_DIA_PLUS_Sobre_x_5g_400x.jpg?v=1662155861 400w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004369829_TAPSIN_LIMONADA_DIA_PLUS_Sobre_x_5g_500x.jpg?v=1662155861 500w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004369829_TAPSIN_LIMONADA_DIA_PLUS_Sobre_x_5g_600x.jpg?v=1662155861 600w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004369829_TAPSIN_LIMONADA_DIA_PLUS_Sobre_x_5g_700x.jpg?v=1662155861 700w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004369829_TAPSIN_LIMONADA_DIA_PLUS_Sobre_x_5g_800x.jpg?v=1662155861 800w"
TAPSIN DIA LIMON/MIEL/JENGIBRE Sobre x 5g,690,paracetamol,"//cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004003266_TAPSINDIALIMON_MIEL_JENGIBRE_Sobre_x5g_200x.jpg?v=1662487232 200w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004003266_TAPSINDIALIMON_MIEL_JENGIBRE_Sobre_x5g_300x.jpg?v=1662487232 300w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004003266_TAPSINDIALIMON_MIEL_JENGIBRE_Sobre_x5g_400x.jpg?v=1662487232 400w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004003266_TAPSINDIALIMON_MIEL_JENGIBRE_Sobre_x5g_500x.jpg?v=1662487232 500w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004003266_TAPSINDIALIMON_MIEL_JENGIBRE_Sobre_x5g_600x.jpg?v=1662487232 600w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004003266_TAPSINDIALIMON_MIEL_JENGIBRE_Sobre_x5g_700x.jpg?v=1662487232 700w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004003266_TAPSINDIALIMON_MIEL_JENGIBRE_Sobre_x5g_800x.jpg?v=1662487232 800w"
TAPSIN NOCHE Tira Comp. x 6,590,paracetamol,"//cdn.shopify.com/s/files/1/0581/6687/0176/products/78005853_TAPSIN_TABLETA_NOCHE_TIRAX6_200x.jpg?v=1656193785 200w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/78005853_TAPSIN_TABLETA_NOCHE_TIRAX6_300x.jpg?v=1656193785 300w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/78005853_TAPSIN_TABLETA_NOCHE_TIRAX6_400x.jpg?v=1656193785 400w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/78005853_TAPSIN_TABLETA_NOCHE_TIRAX6_500x.jpg?v=1656193785 500w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/78005853_TAPSIN_TABLETA_NOCHE_TIRAX6_600x.jpg?v=1656193785 600w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/78005853_TAPSIN_TABLETA_NOCHE_TIRAX6_700x.jpg?v=1656193785 700w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/78005853_TAPSIN_TABLETA_NOCHE_TIRAX6_800x.jpg?v=1656193785 800w"
