description,price,bioequivalent,image_url
PARACETAMOL PASTEUR Jbe. x 60ml,2590,paracetamol,"//cdn.shopify.com/s/files/1/0581/6687/0176/products/7800068032721_PARACETAMOL_PASTEUR_200x.jpg?v=1647592215 200w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800068032721_PARACETAMOL_PASTEUR_300x.jpg?v=1647592215 300w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800068032721_PARACETAMOL_PASTEUR_400x.jpg?v=1647592215 400w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800068032721_PARACETAMOL_PASTEUR_500x.jpg?v=1647592215 500w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800068032721_PARACETAMOL_PASTEUR_600x.jpg?v=1647592215 600w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800068032721_PARACETAMOL_PASTEUR_700x.jpg?v=1647592215 700w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800068032721_PARACETAMOL_PASTEUR_800x.jpg?v=1647592215 800w"
ALIVIDOL PARACETAMOL 500mg Comp. x 24,1490,paracetamol,"//cdn.shopify.com/s/files/1/0581/6687/0176/products/7804620834259_ALIVIDOL_PARACETAMOL_500mg_Comp_x_24_200x.jpg?v=1660845272 200w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7804620834259_ALIVIDOL_PARACETAMOL_500mg_Comp_x_24_300x.jpg?v=1660845272 300w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7804620834259_ALIVIDOL_PARACETAMOL_500mg_Comp_x_24_400x.jpg?v=1660845272 400w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7804620834259_ALIVIDOL_PARACETAMOL_500mg_Comp_x_24_500x.jpg?v=1660845272 500w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7804620834259_ALIVIDOL_PARACETAMOL_500mg_Comp_x_24_600x.jpg?v=1660845272 600w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7804620834259_ALIVIDOL_PARACETAMOL_500mg_Comp_x_24_700x.jpg?v=1660845272 700w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7804620834259_ALIVIDOL_PARACETAMOL_500mg_Comp_x_24_800x.jpg?v=1660845272 800w"
PARACETAMOL MINTLAB 80mg Comp. x 20,1490,paracetamol,"//cdn.shopify.com/s/files/1/0581/6687/0176/products/7800063111001_PARACETAMOL_MINTLAB_80MG_COMP_X20_jpg_Mesadetrabajo1_200x.jpg?v=1652841092 200w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800063111001_PARACETAMOL_MINTLAB_80MG_COMP_X20_jpg_Mesadetrabajo1_300x.jpg?v=1652841092 300w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800063111001_PARACETAMOL_MINTLAB_80MG_COMP_X20_jpg_Mesadetrabajo1_400x.jpg?v=1652841092 400w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800063111001_PARACETAMOL_MINTLAB_80MG_COMP_X20_jpg_Mesadetrabajo1_500x.jpg?v=1652841092 500w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800063111001_PARACETAMOL_MINTLAB_80MG_COMP_X20_jpg_Mesadetrabajo1_600x.jpg?v=1652841092 600w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800063111001_PARACETAMOL_MINTLAB_80MG_COMP_X20_jpg_Mesadetrabajo1_700x.jpg?v=1652841092 700w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800063111001_PARACETAMOL_MINTLAB_80MG_COMP_X20_jpg_Mesadetrabajo1_800x.jpg?v=1652841092 800w"
PARACETAMOL CHILE LAB. 500mg Comp. x 16,790,paracetamol,"//cdn.shopify.com/s/files/1/0581/6687/0176/products/7800007124326_PARACETAMOL_CHILE_LAB_500mg_Compx16_200x.jpg?v=1656187339 200w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800007124326_PARACETAMOL_CHILE_LAB_500mg_Compx16_300x.jpg?v=1656187339 300w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800007124326_PARACETAMOL_CHILE_LAB_500mg_Compx16_400x.jpg?v=1656187339 400w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800007124326_PARACETAMOL_CHILE_LAB_500mg_Compx16_500x.jpg?v=1656187339 500w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800007124326_PARACETAMOL_CHILE_LAB_500mg_Compx16_600x.jpg?v=1656187339 600w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800007124326_PARACETAMOL_CHILE_LAB_500mg_Compx16_700x.jpg?v=1656187339 700w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800007124326_PARACETAMOL_CHILE_LAB_500mg_Compx16_800x.jpg?v=1656187339 800w"
XUMADOL 1g Comp. x 20,7490,paracetamol,"//cdn.shopify.com/s/files/1/0581/6687/0176/products/7809591401806_XUMADOL_1G_COMP_x20_e9c426a9-27c4-4f4d-a3e8-a4de417ac725_200x.jpg?v=1648643934 200w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7809591401806_XUMADOL_1G_COMP_x20_e9c426a9-27c4-4f4d-a3e8-a4de417ac725_300x.jpg?v=1648643934 300w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7809591401806_XUMADOL_1G_COMP_x20_e9c426a9-27c4-4f4d-a3e8-a4de417ac725_400x.jpg?v=1648643934 400w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7809591401806_XUMADOL_1G_COMP_x20_e9c426a9-27c4-4f4d-a3e8-a4de417ac725_500x.jpg?v=1648643934 500w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7809591401806_XUMADOL_1G_COMP_x20_e9c426a9-27c4-4f4d-a3e8-a4de417ac725_600x.jpg?v=1648643934 600w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7809591401806_XUMADOL_1G_COMP_x20_e9c426a9-27c4-4f4d-a3e8-a4de417ac725_700x.jpg?v=1648643934 700w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7809591401806_XUMADOL_1G_COMP_x20_e9c426a9-27c4-4f4d-a3e8-a4de417ac725_800x.jpg?v=1648643934 800w"
TAPSIN LIMONADA NOCHE Sobre x 5g,690,paracetamol,"//cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004399567_TAPSIN_LIMONADA_NOCHE_Sobre_x_5g_200x.jpg?v=1660681929 200w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004399567_TAPSIN_LIMONADA_NOCHE_Sobre_x_5g_300x.jpg?v=1660681929 300w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004399567_TAPSIN_LIMONADA_NOCHE_Sobre_x_5g_400x.jpg?v=1660681929 400w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004399567_TAPSIN_LIMONADA_NOCHE_Sobre_x_5g_500x.jpg?v=1660681929 500w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004399567_TAPSIN_LIMONADA_NOCHE_Sobre_x_5g_600x.jpg?v=1660681929 600w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004399567_TAPSIN_LIMONADA_NOCHE_Sobre_x_5g_700x.jpg?v=1660681929 700w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004399567_TAPSIN_LIMONADA_NOCHE_Sobre_x_5g_800x.jpg?v=1660681929 800w"
TAPSIN LIMONADA DIA Sobre x 5g,690,paracetamol,"//cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004399536_TAPSIN_LIMONADA_DIA_Sobre_x_5g_200x.jpg?v=1662155404 200w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004399536_TAPSIN_LIMONADA_DIA_Sobre_x_5g_300x.jpg?v=1662155404 300w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004399536_TAPSIN_LIMONADA_DIA_Sobre_x_5g_400x.jpg?v=1662155404 400w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004399536_TAPSIN_LIMONADA_DIA_Sobre_x_5g_500x.jpg?v=1662155404 500w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004399536_TAPSIN_LIMONADA_DIA_Sobre_x_5g_600x.jpg?v=1662155404 600w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004399536_TAPSIN_LIMONADA_DIA_Sobre_x_5g_700x.jpg?v=1662155404 700w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800004399536_TAPSIN_LIMONADA_DIA_Sobre_x_5g_800x.jpg?v=1662155404 800w"
WINASORB 100mg/ml Gotas x 25ml,5990,paracetamol,"//cdn.shopify.com/s/files/1/0581/6687/0176/products/7800026029398_WINASORB_100mg_ml_Gotas_x25ml_200x.jpg?v=1665506830 200w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800026029398_WINASORB_100mg_ml_Gotas_x25ml_300x.jpg?v=1665506830 300w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800026029398_WINASORB_100mg_ml_Gotas_x25ml_400x.jpg?v=1665506830 400w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800026029398_WINASORB_100mg_ml_Gotas_x25ml_500x.jpg?v=1665506830 500w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800026029398_WINASORB_100mg_ml_Gotas_x25ml_600x.jpg?v=1665506830 600w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800026029398_WINASORB_100mg_ml_Gotas_x25ml_700x.jpg?v=1665506830 700w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800026029398_WINASORB_100mg_ml_Gotas_x25ml_800x.jpg?v=1665506830 800w"
KITADOL 500mg Comp. x 24,1690,paracetamol,"//cdn.shopify.com/s/files/1/0581/6687/0176/products/7800007409249_KITADOL_500mg_Comp_x_24_200x.jpg?v=1660681686 200w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800007409249_KITADOL_500mg_Comp_x_24_300x.jpg?v=1660681686 300w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800007409249_KITADOL_500mg_Comp_x_24_400x.jpg?v=1660681686 400w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800007409249_KITADOL_500mg_Comp_x_24_500x.jpg?v=1660681686 500w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800007409249_KITADOL_500mg_Comp_x_24_600x.jpg?v=1660681686 600w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800007409249_KITADOL_500mg_Comp_x_24_700x.jpg?v=1660681686 700w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800007409249_KITADOL_500mg_Comp_x_24_800x.jpg?v=1660681686 800w"
SUPRACALM 1g Comp. x 20,10490,paracetamol,"//cdn.shopify.com/s/files/1/0581/6687/0176/products/7800070004549_SUPRACALM_1G_COMPX20_200x.jpg?v=1650831517 200w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800070004549_SUPRACALM_1G_COMPX20_300x.jpg?v=1650831517 300w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800070004549_SUPRACALM_1G_COMPX20_400x.jpg?v=1650831517 400w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800070004549_SUPRACALM_1G_COMPX20_500x.jpg?v=1650831517 500w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800070004549_SUPRACALM_1G_COMPX20_600x.jpg?v=1650831517 600w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800070004549_SUPRACALM_1G_COMPX20_700x.jpg?v=1650831517 700w, //cdn.shopify.com/s/files/1/0581/6687/0176/products/7800070004549_SUPRACALM_1G_COMPX20_800x.jpg?v=1650831517 800w"
